[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA GeForce RTX 2080 Ti
 Shmoo Mode

.............................................................................................................
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 0.1 GB/s, Time = 0.00001 s, Size = 1000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 0.4 GB/s, Time = 0.00001 s, Size = 2000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 0.8 GB/s, Time = 0.00000 s, Size = 3000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 1.3 GB/s, Time = 0.00000 s, Size = 4000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 1.4 GB/s, Time = 0.00000 s, Size = 5000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 1.9 GB/s, Time = 0.00000 s, Size = 6000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 2.6 GB/s, Time = 0.00000 s, Size = 7000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 2.6 GB/s, Time = 0.00000 s, Size = 8000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 3.2 GB/s, Time = 0.00000 s, Size = 9000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 3.3 GB/s, Time = 0.00000 s, Size = 10000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 4.0 GB/s, Time = 0.00000 s, Size = 11000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 4.7 GB/s, Time = 0.00000 s, Size = 12000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 5.1 GB/s, Time = 0.00000 s, Size = 13000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 4.6 GB/s, Time = 0.00000 s, Size = 14000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-cudaMemcpy, Bandwidth = 7.3 GB/s, Time = 0.00000 s, Size = 15000 bytes, NumDevsUsed = 1
